episode,total_reward,length,death_reason,death_reason_code,pattern_group,pattern_name,speed,time_step,epsilon
186,-1.7299998998641968,76,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,hard,hard_all_B,1.0759999999999916,76,
187,-1.7699989080429077,76,Collision with C (Unavoidable) at lane 2,C_unavoidable,medium,medium_complex_2,1.0759999999999916,76,
188,-7.320000171661377,28,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,medium,medium_sides_A,1.027999999999997,28,
189,-7.050000190734863,31,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,medium,medium_complex_4,1.0309999999999966,31,
190,-7.340000152587891,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,
191,-1.7699989080429077,76,Collision with C (Unavoidable) at lane 2,C_unavoidable,medium,medium_complex_3,1.0759999999999916,76,
192,5.190014839172363,128,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.127999999999986,128,
193,-7.360000133514404,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,
194,-7.250000476837158,29,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.0289999999999968,29,
195,-7.240000247955322,29,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0289999999999968,29,
196,-7.190000534057617,29,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,medium,medium_sides_A,1.0289999999999968,29,
197,-7.360000133514404,28,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,medium,medium_right_center,1.027999999999997,28,
198,-0.5399974584579468,78,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_complex_3,1.0779999999999914,78,
199,-7.220000267028809,29,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.0289999999999968,29,
200,-7.320000171661377,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,medium,medium_complex_2,1.027999999999997,28,
201,-7.2300004959106445,29,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,easy,easy_right_B,1.0289999999999968,29,
202,-7.310000419616699,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,medium,medium_complex_5,1.027999999999997,28,
203,-1.819998860359192,76,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,medium,medium_complex_4,1.0759999999999916,76,
